Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Sales_category
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71,Existo de ventas
1054,Personal Trainer: Math,DS,2007,Puzzle,Nintendo,0.49,1.12,0.0,0.09,1.7,Existo de ventas
1055,Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7,Existo de ventas
1078,Yoshi's Cookie,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68,Existo de ventas
1083,Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68,Existo de ventas
1109,Mario Party 6,GC,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65,Existo de ventas
1110,Super Scope 6,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65,Existo de ventas
1115,Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,1.64,Existo de ventas
1127,Pikmin,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63,Existo de ventas
1138,Mario Hoops 3 on 3,DS,2006,Sports,Nintendo,0.99,0.04,0.49,0.1,1.62,Existo de ventas
1139,Kirby Air Ride,GC,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,1.62,Existo de ventas
1141,Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61,Existo de ventas
1144,Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61,Existo de ventas
1146,Super Mario Strikers,GC,2005,Sports,Nintendo,0.98,0.38,0.2,0.04,1.61,Existo de ventas
1162,The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04,1.59,Existo de ventas
1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.58,0.44,0.44,0.12,1.58,Existo de ventas
1185,Mario Party 7,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57,Existo de ventas
1189,Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56,Existo de ventas
1194,Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56,Existo de ventas
1209,Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.5,0.24,0.11,1.55,Existo de ventas
1212,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54,Existo de ventas
1227,Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53,Existo de ventas
1229,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.73,0.52,0.15,0.12,1.52,Existo de ventas
1235,F1 Race,NES,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52,Existo de ventas
1262,Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5,Existo de ventas
1269,Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49,Existo de ventas
1273,Banjo-Tooie,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49,Existo de ventas
1277,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48,Existo de ventas
1280,Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48,Existo de ventas
1282,Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48,Existo de ventas
1290,Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47,Existo de ventas
1310,Mario Superstar Baseball,GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,Existo de ventas
1316,LEGO City Undercover,3DS,2013,Platform,Nintendo,0.51,0.75,0.07,0.12,1.46,Existo de ventas
1326,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45,Existo de ventas
1338,Kirby Super Star,SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44,Existo de ventas
1353,Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43,Existo de ventas
1359,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,Existo de ventas
1362,Super Metroid,SNES,1994,Action,Nintendo,0.57,0.12,0.71,0.02,1.42,Existo de ventas
1366,Inazuma Eleven 2,DS,2009,Role-Playing,Nintendo,0.0,0.21,1.18,0.03,1.42,Existo de ventas
1376,Metroid: Other M,Wii,2010,Action,Nintendo,0.87,0.31,0.13,0.1,1.41,Existo de ventas
1403,Paper Mario,N64,2000,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38,Existo de ventas
1404,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38,Existo de ventas
1423,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37,Existo de ventas
1432,Yoshi's New Island,3DS,2014,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36,Existo de ventas
1458,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.77,0.07,0.43,0.08,1.34,Existo de ventas
1462,Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,Existo de ventas
1478,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,Existo de ventas
1483,Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33,Existo de ventas
1492,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,Existo de ventas
1528,Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29,Existo de ventas
1537,Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29,Existo de ventas
1544,Yakuman,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,Existo de ventas
1550,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,Existo de ventas
1557,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27,Existo de ventas
1562,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,Existo de ventas
1576,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26,Existo de ventas
1593,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,Existo de ventas
1603,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.1,0.04,0.0,0.1,1.24,Existo de ventas
1610,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,Existo de ventas
1622,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,Existo de ventas
1626,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,Existo de ventas
1628,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,Existo de ventas
1636,Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,Existo de ventas
1638,Game & Watch Gallery 2,GB,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22,Existo de ventas
1639,Game & Watch Gallery 3,GB,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22,Existo de ventas
1646,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,Existo de ventas
1671,Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,Existo de ventas
1680,SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,Existo de ventas
1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,Existo de ventas
1684,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,Existo de ventas
1689,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,Existo de ventas
1696,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,Existo de ventas
1702,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,Existo de ventas
1704,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,Existo de ventas
1712,Mario Tennis,GB,2000,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,Existo de ventas
1725,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,Existo de ventas
1740,Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,Existo de ventas
1752,Jet Force Gemini,N64,1999,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16,Existo de ventas
1772,Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,Existo de ventas
1777,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,Existo de ventas
1783,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,Existo de ventas
1794,Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,Existo de ventas
1796,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,Existo de ventas
1808,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,Existo de ventas
1811,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,Existo de ventas
1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo,0.81,0.3,0.0,0.02,1.13,Existo de ventas
1821,Pilotwings 64,N64,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,Existo de ventas
1829,Yoshi's Cookie,NES,1992,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12,Existo de ventas
1841,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,Existo de ventas
1845,Pikmin 3,WiiU,2013,Strategy,Nintendo,0.45,0.31,0.29,0.06,1.11,Existo de ventas
1852,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.52,0.33,0.17,0.08,1.1,Existo de ventas
1862,F-Zero X,N64,1998,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1,Existo de ventas
1863,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,Existo de ventas
1868,Tales of Symphonia,GC,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,Existo de ventas
1892,Endless Ocean,Wii,2007,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09,Existo de ventas
1911,LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08,Existo de ventas
1916,Star Fox: Assault,GC,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,Existo de ventas
1929,Super Princess Peach,DS,2005,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07,Existo de ventas
1988,Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.58,0.06,0.37,0.04,1.05,Existo de ventas
1999,Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04,Existo de ventas
2002,F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,Existo de ventas
2008,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04,Existo de ventas
2021,Donkey Kong Land III,GB,2007,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03,Existo de ventas
2043,Bayonetta 2,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01,Existo de ventas
